aX,aY,aZ,gX,gY,gZ
-0.065,1.015,-0.014,0.490,-1.120,-0.560
-0.074,1.013,-0.017,0.840,-1.190,-0.280
-0.071,1.016,-0.015,0.770,-1.260,0.000
-0.069,1.022,-0.015,0.770,-1.540,0.000
-0.069,1.023,-0.020,0.420,-1.470,0.280
-0.475,0.935,-0.100,15.470,-17.640,-189.140
-0.535,0.942,-0.081,12.250,-15.820,-163.170
-0.585,0.949,-0.078,10.220,-13.720,-168.840
-0.650,0.951,-0.083,9.520,-11.480,-157.850
-0.741,0.960,-0.091,8.610,-8.400,-145.600
-0.804,0.965,-0.090,6.510,-6.510,-128.730
-0.851,0.969,-0.084,5.040,-4.620,-115.780
-0.890,0.969,-0.079,3.710,-1.610,-102.900
-0.940,0.969,-0.074,2.800,0.700,-72.240
-0.976,0.965,-0.081,1.890,2.870,-73.220
-1.009,0.966,-0.086,0.840,4.970,-60.900
-1.034,0.960,-0.097,-0.420,7.350,-49.070
-1.039,0.943,-0.098,-1.610,9.170,-34.020
-1.039,0.908,-0.091,-2.450,10.640,-23.800
-1.031,0.893,-0.080,-2.310,11.900,-13.790
-1.022,0.881,-0.073,-1.960,12.460,-3.850
-1.016,0.878,-0.070,-1.120,12.530,9.660
-1.009,0.877,-0.067,-0.700,12.250,20.160
-0.996,0.878,-0.069,-0.490,11.340,30.310
-0.962,0.875,-0.064,-0.280,10.570,40.180
-0.936,0.871,-0.070,0.000,9.660,51.870
-0.908,0.856,-0.069,0.000,8.680,59.430
-0.874,0.848,-0.069,-0.140,7.490,65.800
-0.814,0.842,-0.078,-0.490,7.070,71.190
-0.775,0.845,-0.083,-2.590,6.650,77.140
-0.741,0.857,-0.085,-4.970,6.300,81.130
-0.714,0.864,-0.094,-7.350,6.160,85.260
-0.676,0.864,-0.094,-9.450,6.370,89.250
-0.655,0.854,-0.088,-10.710,6.160,93.800
-0.636,0.833,-0.081,-10.780,5.950,96.880
-0.624,0.830,-0.078,-10.500,5.600,99.330
-0.604,0.836,-0.074,-10.360,5.460,101.850
-0.599,0.846,-0.077,-10.640,5.250,104.650
-0.590,0.846,-0.074,-11.130,5.320,106.050
-0.574,0.839,-0.068,-11.200,5.460,106.680
-0.554,0.831,-0.057,-11.130,5.250,106.330
-0.532,0.830,-0.048,-10.850,5.390,105.560
-0.518,0.840,-0.044,-10.990,5.110,104.860
-0.500,0.853,-0.043,-11.060,4.970,104.160
-0.488,0.868,-0.041,-11.550,4.970,103.460
