aX,aY,aZ,gX,gY,gZ
0.019,1.796,-1.595,-17.290,317.520,93.240
-0.146,1.686,-1.598,-39.550,377.300,108.780
-0.363,1.653,-1.449,-74.480,431.130,128.240
-0.592,1.573,-1.172,-97.440,492.450,142.800
-0.826,1.465,-0.544,-119.420,500.080,156.590
-0.905,1.399,-0.038,-130.410,496.650,180.740
-0.892,1.057,0.224,-140.490,484.540,185.430
-0.883,0.718,0.390,-136.920,475.020,182.910
-0.776,0.469,0.727,-127.610,444.220,175.420
-0.683,0.292,0.957,-118.650,411.810,164.430
-0.587,0.066,1.098,-89.740,376.390,140.840
-0.467,0.098,0.991,-81.970,349.230,130.060
-0.399,0.133,1.082,-67.900,314.860,122.080
-0.324,0.217,1.193,-47.810,264.390,112.910
-0.144,0.161,1.206,-22.820,241.570,94.150
-0.014,0.122,1.342,-12.320,212.940,67.200
0.016,0.484,1.246,-3.080,190.890,46.060
0.100,0.501,1.284,1.750,168.420,30.520
0.090,0.594,1.326,-0.700,141.750,19.390
0.074,0.718,1.280,-9.240,120.750,11.550
0.097,0.712,1.269,-15.120,90.580,3.570
0.086,0.870,1.327,-14.840,67.200,4.130
0.096,1.012,1.052,-18.550,52.570,8.330
0.095,0.972,0.872,-16.030,47.320,10.850
0.094,0.980,0.956,-11.690,34.020,14.490
0.092,0.890,1.029,-10.080,16.940,14.350
0.105,0.816,1.021,-10.430,-3.150,12.600
0.102,0.810,1.030,-12.250,-19.460,11.480
0.113,0.773,1.008,-11.130,-35.070,8.890
0.117,0.794,0.852,-6.090,-45.780,7.770
0.126,0.815,0.677,-0.980,-50.190,6.720
0.142,0.721,0.591,6.300,-53.200,-0.490
0.152,0.656,0.630,12.670,-57.890,-8.750
0.151,0.593,0.671,13.370,-63.630,-20.300
0.137,0.494,0.748,14.840,-70.700,-39.970
0.131,0.522,0.835,20.230,-81.130,-52.080
0.112,0.569,0.878,30.730,-93.450,-62.300
0.076,0.602,0.893,45.080,-109.970,-70.770
0.057,0.636,0.932,63.000,-124.950,-77.420
0.038,0.855,0.900,79.310,-139.090,-79.660
0.022,0.836,0.815,83.230,-151.690,-78.190
0.014,0.873,0.833,85.750,-162.610,-75.600
-0.006,0.822,0.851,88.130,-175.700,-76.650
-0.053,0.692,0.870,96.810,-192.010,-79.870
-0.060,0.661,0.833,101.570,-208.250,-84.910
-0.102,0.656,0.859,102.900,-234.850,-90.930
-0.120,0.662,0.719,102.760,-248.010,-97.580
-0.165,0.729,0.636,93.030,-261.170,-105.490
