aX,aY,aZ,gX,gY,gZ
0.584,2.489,0.673,63.000,-46.130,242.970
0.571,2.686,0.705,119.000,-64.960,308.560
0.538,2.628,0.995,153.580,-91.560,368.970
0.258,2.388,1.325,168.140,-133.210,417.060
0.124,2.052,1.413,155.050,-162.120,449.260
-0.102,1.581,1.341,121.030,-182.070,459.690
-0.281,0.994,1.266,35.840,-196.910,449.820
-0.361,0.766,1.099,-6.370,-205.100,438.550
-0.334,0.819,0.858,-50.260,-209.370,438.970
-0.243,0.848,0.599,-80.990,-207.690,442.540
-0.175,0.836,0.551,-85.750,-210.140,447.790
-0.222,0.471,0.700,-73.500,-230.370,431.270
-0.237,0.335,0.538,-64.330,-239.120,406.070
-0.152,0.071,0.459,-55.020,-290.850,376.180
-0.108,-0.170,0.001,-29.610,-293.300,319.200
-0.099,-0.738,-0.456,-18.340,-277.830,261.590
0.060,-1.006,-1.086,-17.290,-222.320,204.750
0.208,-1.141,-1.334,-17.220,-169.750,147.910
0.351,-1.058,-1.495,-27.090,-111.650,79.940
0.523,-0.745,-1.504,-26.810,-53.480,51.590
0.752,-0.323,-1.235,-30.730,1.330,34.720
0.835,-0.050,-0.978,-29.960,29.190,23.380
0.917,0.191,-0.754,-27.230,47.460,18.690
0.976,0.401,-0.530,-21.770,55.720,21.420
0.998,0.378,-0.284,-13.510,59.010,21.210
0.978,0.309,-0.008,-12.180,57.750,18.130
0.951,0.190,0.142,-13.020,53.270,11.200
0.908,0.014,0.247,-16.240,48.790,-6.160
0.898,-0.074,0.318,-19.950,45.990,-17.570
0.890,-0.108,0.412,-26.040,37.380,-31.990
0.874,-0.125,0.454,-35.280,30.240,-47.390
0.876,-0.097,0.430,-38.080,23.100,-63.630
0.881,-0.049,0.405,-37.730,19.530,-76.790
0.998,0.008,0.315,-34.440,10.290,-85.610
0.875,0.079,0.198,-22.050,7.630,-94.640
0.881,0.138,0.045,2.100,7.420,-102.830
0.907,0.348,-0.127,25.830,12.740,-103.460
0.927,0.467,-0.246,41.860,19.250,-104.860
0.968,0.552,-0.396,53.340,35.070,-105.840
0.976,0.583,-0.469,57.820,52.360,-105.770
0.969,0.577,-0.443,49.490,71.750,-106.820
0.944,0.536,-0.392,35.420,91.560,-107.730
0.895,0.456,-0.321,23.030,109.620,-112.490
0.818,0.312,-0.167,8.960,122.780,-122.150
0.744,0.195,-0.088,-0.070,138.670,-155.960
0.671,0.095,0.122,-26.180,136.080,-159.110
0.660,0.154,0.091,-35.560,143.360,-170.170
0.597,0.143,0.252,-45.290,143.920,-182.910
0.509,0.109,0.306,-46.550,140.770,-199.010
0.492,0.172,0.341,-37.590,135.030,-210.490
0.494,0.490,0.330,-3.780,129.920,-210.420
0.531,0.772,0.430,9.380,119.630,-202.440
0.562,1.017,0.491,10.640,105.560,-189.000
0.672,1.289,0.510,6.510,96.530,-166.390
0.723,1.392,0.544,-4.130,85.190,-145.110
0.742,1.296,0.471,-12.740,75.670,-122.990
0.767,1.175,0.346,-8.750,71.610,-111.650
0.728,1.046,0.314,-6.930,71.120,-105.560
0.677,0.939,0.294,-5.880,73.500,-102.060
0.627,0.837,0.329,-5.880,76.370,-101.920
0.570,0.704,0.438,-11.760,76.440,-107.520
0.532,0.657,0.571,-18.200,73.430,-111.020
0.379,0.636,0.685,-21.700,61.530,-113.470
0.479,0.607,0.737,-21.770,50.260,-116.270
0.438,0.578,0.718,-12.880,37.800,-122.710
0.421,0.633,0.676,0.840,26.180,-123.830
0.442,0.805,0.634,13.370,15.190,-118.790
0.488,0.996,0.515,22.610,4.270,-107.450
0.543,1.155,0.427,30.030,-0.350,-92.330
0.566,1.221,0.332,29.820,-0.490,-73.920
0.589,1.229,0.306,26.740,0.070,-61.670
0.581,1.168,0.266,23.310,1.820,-53.410
0.559,1.066,0.205,23.450,6.720,-49.630
