aX,aY,aZ,gX,gY,gZ
-0.100,1.008,-0.006,0.280,-3.850,-0.140
-0.097,1.006,-0.004,0.490,-3.710,0.070
-0.096,1.008,-0.008,0.700,-3.710,-0.140
-0.221,1.268,-0.032,-16.030,7.840,79.590
-0.226,1.315,-0.035,-18.830,7.910,100.170
-0.239,1.341,-0.030,-22.680,8.260,115.290
-0.247,1.340,-0.026,-25.200,7.910,129.710
-0.233,1.335,-0.009,-27.230,7.350,143.500
-0.213,1.335,-0.004,-29.120,7.210,156.450
-0.199,1.317,-0.007,-30.870,7.350,172.340
-0.178,1.302,-0.005,-34.230,7.000,183.820
-0.163,1.265,-0.017,-36.400,7.210,193.690
-0.177,1.195,-0.023,-38.640,6.860,201.530
-0.168,1.093,-0.024,-39.060,6.510,205.660
-0.145,0.975,-0.016,-36.610,6.230,205.450
-0.101,0.837,0.005,-32.550,6.020,201.530
-0.047,0.783,0.039,-27.930,5.320,195.930
0.014,0.754,0.065,-23.380,4.340,188.510
0.080,0.726,0.083,-18.970,3.640,179.620
0.122,0.691,0.102,-15.400,2.730,168.630
0.171,0.661,0.122,-12.880,1.050,156.240
0.237,0.656,0.141,-10.570,-0.910,137.830
0.295,0.676,0.155,-9.660,-3.920,124.460
0.347,0.686,0.160,-8.610,-6.580,112.070
0.379,0.675,0.149,-7.350,-9.730,100.240
0.425,0.659,0.132,-6.300,-11.900,88.760
0.480,0.663,0.124,-5.390,-13.300,77.630
0.544,0.691,0.119,-5.110,-14.070,61.810
0.606,0.719,0.116,-5.880,-13.930,50.540
0.642,0.716,0.085,-7.910,-13.370,41.930
0.634,0.704,0.080,-10.220,-13.580,32.970
0.652,0.695,0.103,-10.850,-13.720,22.960
0.685,0.683,0.119,-8.960,-13.230,12.740
0.695,0.661,0.114,-5.530,-13.160,0.490
0.681,0.655,0.104,-3.150,-13.090,-7.840
0.668,0.667,0.105,-1.050,-13.160,-16.030
0.667,0.680,0.110,1.750,-13.160,-24.430
0.657,0.684,0.112,4.480,-12.670,-32.340
0.645,0.686,0.105,7.000,-12.600,-40.110
0.630,0.690,0.103,9.450,-12.460,-49.910
0.617,0.712,0.098,12.180,-11.760,-57.190
0.605,0.728,0.094,14.070,-11.200,-63.840
0.594,0.750,0.090,15.400,-10.080,-69.860
0.578,0.768,0.088,16.240,-9.380,-75.530
0.567,0.794,0.085,16.870,-8.540,-80.780
0.552,0.824,0.081,17.010,-7.840,-86.870
0.531,0.841,0.080,16.590,-7.140,-90.720
0.509,0.847,0.075,16.240,-6.580,-94.150
0.482,0.851,0.075,16.520,-6.440,-97.650
0.468,0.855,0.074,17.220,-6.370,-100.800
0.448,0.870,0.070,18.060,-6.370,-103.110
0.427,0.890,0.061,18.830,-6.720,-105.490
0.407,0.912,0.060,19.110,-7.280,-106.540
0.378,0.918,0.059,19.460,-8.050,-107.380
0.345,0.924,0.057,20.090,-9.100,-108.080
0.326,0.934,0.059,21.000,-9.940,-108.710
0.307,0.946,0.052,21.910,-10.570,-109.200
0.278,0.957,0.042,22.330,-11.200,-109.620
0.252,0.968,0.037,22.120,-11.760,-109.620
0.232,0.982,0.035,21.910,-12.110,-109.690
0.214,0.996,0.031,21.840,-12.180,-109.480
0.189,1.006,0.019,21.350,-12.040,-108.990
0.157,1.011,0.008,20.720,-11.830,-108.570
